question_id,assunto,card_key,link_type,precision,reason
1502065,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),ctb_escolares,specific_high_precision,comment_or_subject_evidence_only,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.
28106,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_documentos_cnh_porte,specific_high_precision,comment_or_subject_evidence_only,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.
28107,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_documentos_cnh_porte,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
28109,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),subject_overview::da-habilitacao-arts-140-a-160-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
28212,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_documentos_cnh_porte,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
28215,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_documentos_cnh_porte,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
303964,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_habilitacao_categorias,specific_high_precision,comment_or_subject_evidence_only,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.
363330,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_habilitacao_categorias,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
840840,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_habilitacao_permissao_pontos,specific_high_precision,comment_or_subject_evidence_only,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.
1028949,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),subject_overview::da-habilitacao-arts-140-a-160-da-lei-n-9-503-1997,subject_overview_fallback,downgraded_weak_evidence,Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.
1326075,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),contran_789_1020_formacao_condutores,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1490474,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_habilitacao_categorias,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1490477,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_habilitacao_categorias,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1521266,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_habilitacao_categorias,specific_high_precision,comment_or_subject_evidence_only,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.
1521269,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_habilitacao_curso_reciclagem,specific_high_precision,ambiguous_top_candidate,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.
1521272,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_habilitacao_categorias,specific_high_precision,comment_or_subject_evidence_only,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.
1521275,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),ctb_documentos_cnh_porte,specific_high_precision,comment_or_subject_evidence_only,Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.
1573565,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),subject_overview::da-habilitacao-arts-140-a-160-da-lei-n-9-503-1997,subject_overview_fallback,fallback_by_assunto,"Sem evidência suficiente para microcard específico. Exibir apenas como panorama do assunto, nunca como regra que resolve a questão."
